model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,08_profanity_nuance,text,26.7,0.027854,11491,5525
gemini-2.5-pro,kaggle,2026-09-26,08_profanity_nuance,text,0.0,0.017025,1727,17233
gemini-3-flash-preview,kaggle,2026-09-26,08_profanity_nuance,text,13.3,0.027482,9504,3483
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,08_profanity_nuance,text,13.3,0.001942,1638,938
gemini-3.1-pro-preview,kaggle,2026-09-26,08_profanity_nuance,text,13.3,0.158180,13525,8755
gemini-3.5-flash,kaggle,2026-09-25,08_profanity_nuance,text,13.3,0.092968,10649,4068
gemini-3.5-flash-lite,kaggle,2026-09-26,08_profanity_nuance,text,6.7,0.002276,1273,733
gemini-3.6-flash,kaggle,2026-09-25,08_profanity_nuance,text,13.3,0.035443,9781,4303
gemini-3.7-flash,kaggle,2026-09-25,08_profanity_nuance,text,26.7,0.035990,9927,3670
gemini-3.8-flash,kaggle,2026-09-25,08_profanity_nuance,text,13.3,0.037666,10374,3818
