model,provider,date,pillar,modality,score,cost_usd,tokens,latency_ms
gemini-2.5-flash,kaggle,2026-09-25,05_sinhala_grammar,text,73.3,0.076239,31905,8469
gemini-2.5-pro,kaggle,2026-09-26,05_sinhala_grammar,text,6.7,0.015399,1560,16807
gemini-3-flash-preview,kaggle,2026-09-25,05_sinhala_grammar,text,40.0,0.032191,11183,4373
gemini-3.1-flash-lite-preview,kaggle,2026-09-25,05_sinhala_grammar,text,33.3,0.003449,2631,1367
gemini-3.1-pro-preview,kaggle,2026-09-26,05_sinhala_grammar,text,86.7,0.258826,29658,9652
gemini-3.5-flash,kaggle,2026-09-26,05_sinhala_grammar,text,80.0,0.172014,26525,5031
gemini-3.5-flash-lite,kaggle,2026-09-25,05_sinhala_grammar,text,40.0,0.009405,4240,1552
gemini-3.6-flash,kaggle,2026-09-25,05_sinhala_grammar,text,80.0,0.087657,27952,6572
gemini-3.7-flash,kaggle,2026-09-25,05_sinhala_grammar,text,80.0,0.067196,21954,4063
gemini-3.8-flash,kaggle,2026-09-25,05_sinhala_grammar,text,80.0,0.087512,27390,5731
